Epoch,GPU Mem (GB),Box Loss,Class Loss,DFL Loss,Instances,Size,Precision,Recall,mAP50,mAP50-95
1,9.61,1.736,1.903,1.734,17,640,0.796,0.421,0.461,0.307
2,11.9,1.692,1.631,1.639,15,640,0.447,0.407,0.274,0.189
3,11.9,1.735,1.731,1.672,11,640,0.611,0.355,0.346,0.214
4,11.9,1.758,1.802,1.699,10,640,0.655,0.414,0.424,0.275
5,11.9,1.74,1.746,1.686,20,640,0.677,0.4,0.421,0.271
6,11.9,1.708,1.701,1.668,4,640,0.69,0.403,0.42,0.271
7,11.9,1.706,1.655,1.683,27,640,0.637,0.402,0.415,0.279
8,11.9,1.678,1.618,1.654,12,640,0.754,0.411,0.46,0.304
9,11.9,1.653,1.6,1.645,9,640,0.712,0.416,0.438,0.297
10,11.9,1.636,1.561,1.637,13,640,0.783,0.41,0.46,0.306
11,11.9,1.646,1.558,1.638,9,640,0.806,0.417,0.478,0.323
12,11.9,1.615,1.501,1.618,9,640,0.79,0.431,0.48,0.318
13,11.9,1.609,1.517,1.618,4,640,0.84,0.417,0.482,0.319
14,11.9,1.589,1.476,1.603,13,640,0.844,0.427,0.498,0.334
15,11.9,1.594,1.488,1.611,6,640,0.843,0.43,0.5,0.337
16,11.9,1.567,1.446,1.59,5,640,0.824,0.423,0.49,0.325
17,11.9,1.572,1.449,1.582,8,640,0.849,0.427,0.509,0.343
18,11.9,1.56,1.443,1.582,12,640,0.873,0.429,0.511,0.338
19,11.9,1.537,1.421,1.564,9,640,0.816,0.441,0.513,0.34
20,11.9,1.562,1.456,1.579,13,640,0.862,0.437,0.516,0.343
21,11.9,1.518,1.392,1.549,5,640,0.873,0.435,0.519,0.348
22,11.9,1.518,1.392,1.558,10,640,0.856,0.438,0.533,0.355
23,11.9,1.529,1.399,1.561,6,640,0.853,0.443,0.528,0.361
24,11.9,1.498,1.369,1.541,14,640,0.861,0.44,0.539,0.364
25,11.9,1.496,1.363,1.558,5,640,0.861,0.438,0.525,0.359
26,11.9,1.491,1.355,1.536,11,640,0.863,0.435,0.53,0.361
