image_filename,box_id,bbox,yolo_confidence,predicted_class_id,predicted_class_name,classifier_confidence
VAIPE_P_0_2.jpg,0,"[795, 2108, 1352, 2927]",0.8736,10,10,1.0
VAIPE_P_0_2.jpg,1,"[1259, 1875, 1695, 2662]",0.8643,10,10,1.0
VAIPE_P_0_2.jpg,2,"[1607, 1903, 1890, 2457]",0.8585,8,8,1.0
VAIPE_P_0_2.jpg,3,"[969, 2614, 1648, 3211]",0.8421,99,99,1.0
VAIPE_P_0_3.jpg,0,"[1174, 1970, 1784, 2632]",0.875,99,99,1.0
VAIPE_P_0_3.jpg,1,"[1892, 1433, 2550, 2179]",0.8651,10,10,1.0
VAIPE_P_0_3.jpg,2,"[839, 2115, 1475, 2897]",0.8443,10,10,1.0
VAIPE_P_0_4.jpg,0,"[1165, 2726, 1708, 3651]",0.8719,17,17,1.0
VAIPE_P_0_4.jpg,1,"[1339, 1473, 1969, 1867]",0.8716,38,38,1.0
VAIPE_P_0_4.jpg,2,"[1558, 1862, 1978, 2271]",0.8565,6,6,1.0
VAIPE_P_0_4.jpg,3,"[2014, 2052, 2391, 2643]",0.8473,26,26,1.0
VAIPE_P_0_4.jpg,4,"[1371, 2343, 1801, 2781]",0.7824,6,6,0.6
VAIPE_P_0_4.jpg,5,"[1721, 2213, 2267, 3052]",0.5686,101,101,1.0
VAIPE_P_0_5.jpg,0,"[1677, 1985, 2476, 2714]",0.896,103,103,0.4
VAIPE_P_0_5.jpg,1,"[308, 2072, 876, 2509]",0.8922,17,17,0.6
VAIPE_P_0_5.jpg,2,"[1623, 2770, 1958, 3277]",0.862,17,17,1.0
VAIPE_P_0_5.jpg,3,"[1156, 2263, 1536, 2656]",0.8599,51,51,1.0
VAIPE_P_0_5.jpg,4,"[1583, 1228, 1979, 1627]",0.8347,51,51,0.8
VAIPE_P_0_5.jpg,5,"[800, 954, 1150, 1651]",0.7334,8,8,1.0
VAIPE_P_0_6.jpg,0,"[864, 1288, 1803, 2270]",0.4488,68,68,1.0
VAIPE_P_0_6.jpg,1,"[1222, 2785, 1846, 3636]",0.322,17,17,1.0
VAIPE_P_0_6.jpg,2,"[648, 2094, 1473, 3044]",0.3151,27,27,1.0
