                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.826,                 3.5968,                 1.5763,                0.23522,                0.07352,                0.06928,                0.02379,                 1.9858,                 4.7466,                 1.9628,             0.00065833,             0.00065833,             0.00065833
                      2,                 1.7881,                 2.9514,                 1.6016,                0.20975,                0.29824,                0.14647,                0.06508,                 1.9048,                  3.469,                 1.9745,              0.0013119,              0.0013119,              0.0013119
                      3,                 1.7921,                  2.607,                 1.6525,                0.11878,                0.10165,                0.05704,                0.02201,                 2.1606,                 3.5599,                 2.3401,              0.0019522,              0.0019522,              0.0019522
                      4,                  1.758,                 2.3571,                 1.6141,                0.10314,                0.21429,                0.07101,                0.03222,                 2.2391,                 3.0574,                 2.0128,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7667,                 2.2543,                  1.618,                0.17094,                0.30495,                0.13437,                0.05718,                 1.8632,                 2.9271,                 1.7836,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.7415,                 2.2335,                 1.6131,                0.31642,                0.29885,                 0.2593,                0.11658,                 1.7615,                 2.4461,                 1.6853,               0.001901,               0.001901,               0.001901
                      7,                 1.7263,                  2.164,                 1.5699,                0.23237,                0.33432,                0.17692,                0.07767,                 1.9143,                 2.4023,                 1.7508,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.6572,                 2.0796,                 1.5544,                0.32974,                0.36813,                0.28202,                0.13495,                 1.7261,                 2.2123,                 1.6486,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.637,                 2.0366,                 1.5039,                0.36633,                 0.4478,                0.36438,                0.18453,                  1.709,                 2.0774,                  1.571,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.6223,                 2.0175,                 1.4995,                0.33934,                0.45055,                 0.3012,                0.13958,                 1.6715,                 2.0865,                 1.5796,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.5565,                 1.9371,                 1.4366,                0.28318,                0.43407,                0.28361,                 0.1368,                 1.6382,                 2.1436,                 1.5605,               0.001802,               0.001802,               0.001802
                     12,                 1.5743,                 1.9007,                 1.4562,                0.32921,                0.46381,                0.30756,                0.16355,                 1.5905,                 2.0858,                 1.5526,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5701,                 1.9392,                 1.4676,                0.32981,                0.41484,                0.34591,                0.19559,                  1.508,                 2.0355,                 1.4552,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.5374,                 1.8944,                 1.4193,                0.33713,                0.42308,                 0.3278,                0.16639,                 1.5489,                 2.0488,                 1.4887,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.5041,                 1.8375,                 1.4354,                0.44197,                0.52198,                0.42969,                0.21809,                 1.5549,                 1.7887,                 1.4809,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4962,                 1.7871,                 1.4074,                0.39013,                0.46396,                0.40671,                0.22164,                 1.5618,                  1.845,                 1.4765,               0.001703,               0.001703,               0.001703
                     17,                 1.5332,                 1.8068,                 1.4305,                0.45626,                0.46154,                0.42073,                0.21688,                 1.5543,                 1.9635,                 1.5023,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.4956,                 1.7574,                 1.3928,                0.37965,                0.47802,                0.37331,                0.19728,                 1.6032,                 1.9563,                 1.5113,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.4814,                 1.7426,                 1.4053,                0.42162,                0.53022,                  0.422,                0.21748,                 1.5389,                 1.7767,                 1.4763,              0.0016436,              0.0016436,              0.0016436
                     20,                  1.462,                 1.7422,                 1.3784,                0.42362,                0.52198,                0.42611,                0.21269,                 1.5633,                  1.838,                 1.4892,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.4583,                 1.7385,                 1.3733,                0.43767,                0.49725,                0.41726,                0.22403,                 1.4904,                 1.8293,                 1.4443,               0.001604,               0.001604,               0.001604
                     22,                 1.4651,                 1.7597,                 1.3778,                0.46859,                0.51374,                0.48861,                0.25147,                 1.4561,                 1.7525,                 1.4133,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.4199,                 1.6824,                 1.3602,                0.43691,                0.45879,                0.43174,                0.21833,                 1.4727,                 1.8044,                 1.4407,              0.0015644,              0.0015644,              0.0015644
                     24,                  1.428,                 1.6663,                 1.3501,                0.45499,                0.49725,                0.44031,                0.24437,                 1.4365,                 1.8855,                 1.4038,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.4171,                 1.6816,                 1.3462,                0.50232,                0.51374,                0.46888,                  0.254,                 1.4738,                 1.7497,                 1.4041,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.4114,                 1.6392,                 1.3384,                0.50869,                0.49208,                0.49884,                0.27746,                 1.4517,                 1.6988,                 1.4184,               0.001505,               0.001505,               0.001505
                     27,                  1.383,                 1.6291,                 1.3151,                0.49876,                0.58242,                0.51137,                0.27303,                 1.4556,                 1.6186,                  1.411,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.3863,                 1.6242,                  1.319,                0.45167,                0.57143,                0.49163,                0.27145,                 1.4053,                 1.5937,                 1.3905,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.3724,                 1.5972,                 1.3104,                0.50998,                0.56319,                0.54886,                0.30806,                 1.4187,                 1.5611,                 1.3797,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.3993,                 1.5704,                 1.3114,                0.50337,                0.58242,                0.52403,                 0.2932,                 1.4181,                 1.5973,                 1.3621,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.3678,                 1.5782,                 1.3154,                 0.5556,                0.59763,                0.58085,                0.33046,                 1.4427,                 1.4815,                 1.3726,               0.001406,               0.001406,               0.001406
                     32,                 1.3923,                 1.5729,                 1.3004,                0.49705,                0.53571,                0.50562,                0.29291,                 1.4009,                 1.6825,                 1.3791,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.3442,                 1.5817,                 1.3054,                0.50024,                0.58516,                0.50045,                0.28566,                 1.4251,                 1.5893,                 1.3917,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.3524,                 1.5384,                 1.2847,                0.53597,                0.53297,                0.53893,                0.29998,                 1.4461,                 1.5342,                 1.3817,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3142,                 1.4937,                  1.253,                0.54102,                0.57143,                0.58231,                 0.3354,                 1.3366,                 1.4993,                 1.3303,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3308,                 1.5364,                 1.2688,                0.57906,                0.54421,                 0.5456,                0.30033,                 1.3754,                 1.5872,                 1.3424,               0.001307,               0.001307,               0.001307
                     37,                  1.296,                 1.5038,                 1.2605,                 0.6048,                0.57179,                0.60217,                0.35571,                 1.3706,                 1.4691,                 1.3403,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2963,                 1.4831,                 1.2654,                0.54808,                0.61813,                0.54797,                0.30752,                 1.3852,                 1.5332,                 1.3488,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3433,                 1.4801,                 1.2785,                0.63566,                0.54642,                0.58763,                0.34514,                 1.3806,                 1.4571,                 1.3471,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3251,                 1.5073,                  1.275,                0.50142,                 0.6023,                0.55956,                0.32195,                 1.3564,                 1.5191,                 1.3716,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.3189,                 1.4366,                 1.2688,                0.52462,                0.62363,                0.58487,                0.32214,                 1.3884,                 1.4973,                 1.3547,               0.001208,               0.001208,               0.001208
